date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20211011,1195.3,1196.54,1196.99,1191.89,-0.0012,-1.490000000000009,일반언론,0.30204962243797195,0.09924487594390508,0.598705501618123,927.0,네이버금융,0.7777777777777778,0.2222222222222222,0.0,9.0,280.0,92.0,555.0,7.0,2.0,0.0
20211012,1197.29,1195.75,1200.9,1195.38,0.0017,1.990000000000009,일반언론,0.26339969372128635,0.11485451761102604,0.6217457886676876,653.0,네이버금융,0.875,0.0625,0.0625,16.0,172.0,75.0,406.0,14.0,1.0,1.0
20211013,1186.18,1197.92,1199.49,1186.3,-0.0093,-11.1099999999999,일반언론,0.2768115942028985,0.10289855072463767,0.6202898550724638,690.0,네이버금융,0.4666666666666667,0.5333333333333333,0.0,15.0,191.0,71.0,428.0,7.0,8.0,0.0
20211014,1181.69,1186.87,1190.94,1181.76,-0.0038,-4.490000000000009,일반언론,0.2369186046511628,0.13953488372093023,0.623546511627907,688.0,네이버금융,0.375,0.625,0.0,16.0,163.0,96.0,429.0,6.0,10.0,0.0
20211015,1182.07,1182.23,1185.31,1180.87,0.0003,0.3799999999998817,일반언론,0.2867540029112082,0.10771470160116449,0.6055312954876274,687.0,네이버금융,0.3125,0.5625,0.125,16.0,197.0,74.0,416.0,5.0,9.0,2.0
20211018,1185.47,1182.49,1188.85,1182.39,0.0029,3.400000000000091,일반언론,0.27502338634237605,0.10102899906454631,0.6239476145930777,1069.0,네이버금융,0.3684210526315789,0.47368421052631576,0.15789473684210525,19.0,294.0,108.0,667.0,7.0,9.0,3.0
20211019,1175.13,1185.89,1186.04,1173.73,-0.0087,-10.339999999999918,일반언론,0.28171091445427726,0.12831858407079647,0.5899705014749262,678.0,네이버금융,0.23529411764705882,0.6470588235294118,0.11764705882352941,17.0,191.0,87.0,400.0,4.0,11.0,2.0
20211020,1175.63,1175.61,1179.26,1172.01,0.0004,0.5,일반언론,0.3121301775147929,0.10059171597633136,0.5872781065088757,676.0,네이버금융,0.6,0.2,0.2,15.0,211.0,68.0,397.0,9.0,3.0,3.0
20211021,1177.78,1175.81,1180.03,1172.98,0.0018,2.149999999999864,일반언론,0.28304597701149425,0.11781609195402298,0.5991379310344828,696.0,네이버금융,0.7333333333333333,0.2,0.06666666666666667,15.0,197.0,82.0,417.0,11.0,3.0,1.0
20211022,1177.48,1177.86,1181.7,1173.64,-0.0003,-0.2999999999999545,일반언론,0.2868741542625169,0.17050067658998647,0.5426251691474966,739.0,네이버금융,0.6,0.3333333333333333,0.06666666666666667,15.0,212.0,126.0,401.0,9.0,5.0,1.0
20211025,1168.02,1177.44,1178.96,1166.96,-0.008,-9.460000000000036,일반언론,0.2670509125840538,0.10278578290105668,0.6301633045148896,1041.0,네이버금융,0.5,0.2222222222222222,0.2777777777777778,18.0,278.0,107.0,656.0,9.0,4.0,5.0
20211026,1167.95,1168.13,1170.47,1163.75,-0.0001,-0.0699999999999363,일반언론,0.24777448071216618,0.10682492581602374,0.6454005934718101,674.0,네이버금융,0.11764705882352941,0.6470588235294118,0.23529411764705882,17.0,167.0,72.0,435.0,2.0,11.0,4.0
20211027,1172.05,1168.06,1174.09,1165.45,0.0034999999999999,4.099999999999909,일반언론,0.28892215568862273,0.1347305389221557,0.5763473053892215,668.0,네이버금융,0.4666666666666667,0.2,0.3333333333333333,15.0,193.0,90.0,385.0,7.0,3.0,5.0
20211028,1168.44,1172.17,1174.7,1166.06,-0.0031,-3.6099999999999,일반언론,0.27359781121751026,0.12038303693570451,0.6060191518467852,731.0,네이버금융,0.875,0.0625,0.0625,16.0,200.0,88.0,443.0,14.0,1.0,1.0
20211029,1174.47,1168.45,1177.07,1167.81,0.0052,6.029999999999973,일반언론,0.25738396624472576,0.1209563994374121,0.6216596343178622,711.0,네이버금융,0.7647058823529411,0.23529411764705882,0.0,17.0,183.0,86.0,442.0,13.0,4.0,0.0
20211101,1177.45,1174.61,1179.89,1173.28,0.0025,2.980000000000018,일반언론,0.26590693257359926,0.1168091168091168,0.6172839506172839,1053.0,네이버금융,0.6666666666666666,0.19047619047619047,0.14285714285714285,21.0,280.0,123.0,650.0,14.0,4.0,3.0
20211102,1178.48,1177.56,1179.91,1174.03,0.0009,1.0299999999999727,일반언론,0.23676470588235293,0.12352941176470589,0.6397058823529411,680.0,네이버금융,0.25,0.5625,0.1875,16.0,161.0,84.0,435.0,4.0,9.0,3.0
20211103,1178.78,1178.59,1185.94,1177.99,0.0003,0.2999999999999545,일반언론,0.27682737169517885,0.1104199066874028,0.6127527216174183,643.0,네이버금융,0.5,0.3125,0.1875,16.0,178.0,71.0,394.0,8.0,5.0,3.0
